mag,place,time,updated,tz,url,detail,felt,cdi,mmi,alert,status,tsunami,sig,net,code,ids,sources,types,nst,dmin,rms,gap,magType,type,title
1.7,"17 km ENE of Talkeetna, Alaska",1724972500517,1724972602132,,https://earthquake.usgs.gov/earthquakes/eventpage/ak024b4lr99f,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak024b4lr99f&format=geojson,,,,,automatic,0,44,ak,024b4lr99f,",ak024b4lr99f,",",ak,",",origin,phase-data,",,,0.41,,ml,earthquake,"M 1.7 - 17 km ENE of Talkeetna, Alaska"
1.2,"8 km ENE of Goldfield, Nevada",1724972482713,1725033374092,,https://earthquake.usgs.gov/earthquakes/eventpage/nn00883433,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nn00883433&format=geojson,,,,,reviewed,0,22,nn,00883433,",nn00883433,",",nn,",",origin,phase-data,",13.0,0.45,0.1553,116.63,ml,earthquake,"M 1.2 - 8 km ENE of Goldfield, Nevada"
1.42,"2 km NW of The Geysers, CA",1724971616600,1724973863794,,https://earthquake.usgs.gov/earthquakes/eventpage/nc75055061,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc75055061&format=geojson,,,,,automatic,0,31,nc,75055061,",nc75055061,",",nc,",",focal-mechanism,nearby-cities,origin,phase-data,scitech-link,",31.0,0.008743,0.04,51.0,md,earthquake,"M 1.4 - 2 km NW of The Geysers, CA"
2.65,"4 km ESE of La Parguera, Puerto Rico",1724971613140,1724972639450,,https://earthquake.usgs.gov/earthquakes/eventpage/pr71458613,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=pr71458613&format=geojson,,,,,reviewed,0,108,pr,71458613,",pr71458613,",",pr,",",origin,phase-data,",13.0,0.03645,0.07,207.0,md,earthquake,"M 2.7 - 4 km ESE of La Parguera, Puerto Rico"
0.7,"6 km SW of Banning, CA",1724971462640,1724972933601,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40719423,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci40719423&format=geojson,,,,,reviewed,0,8,ci,40719423,",ci40719423,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",22.0,0.1072,0.12,89.0,ml,earthquake,"M 0.7 - 6 km SW of Banning, CA"
3.02,"4 km ESE of La Parguera, Puerto Rico",1724971297330,1724992960040,,https://earthquake.usgs.gov/earthquakes/eventpage/pr71458603,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=pr71458603&format=geojson,,,,,reviewed,0,140,pr,71458603,",us6000nnkt,pr71458603,",",us,pr,",",origin,phase-data,",22.0,0.03526,0.13,199.0,md,earthquake,"M 3.0 - 4 km ESE of La Parguera, Puerto Rico"
2.1,"28 km SSW of Trapper Creek, Alaska",1724971097506,1724971174457,,https://earthquake.usgs.gov/earthquakes/eventpage/ak024b4ldpdi,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak024b4ldpdi&format=geojson,,,,,automatic,0,68,ak,024b4ldpdi,",ak024b4ldpdi,",",ak,",",origin,phase-data,",,,0.35,,ml,earthquake,"M 2.1 - 28 km SSW of Trapper Creek, Alaska"
0.7,"9 km ENE of Goldfield, Nevada",1724970998076,1725071161970,,https://earthquake.usgs.gov/earthquakes/eventpage/nn00883432,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nn00883432&format=geojson,,,,,reviewed,0,8,nn,00883432,",nn00883432,",",nn,",",origin,phase-data,",10.0,0.449,0.158,117.48,ml,earthquake,"M 0.7 - 9 km ENE of Goldfield, Nevada"
1.6,"43 km WNW of Skwentna, Alaska",1724970747812,1724970891955,,https://earthquake.usgs.gov/earthquakes/eventpage/ak024b4lcfvh,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak024b4lcfvh&format=geojson,,,,,automatic,0,39,ak,024b4lcfvh,",ak024b4lcfvh,",",ak,",",origin,phase-data,",,,0.45,,ml,earthquake,"M 1.6 - 43 km WNW of Skwentna, Alaska"
1.63,"2 km SE of Ridgely, Tennessee",1724970371210,1725034422810,,https://earthquake.usgs.gov/earthquakes/eventpage/nm60590371,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nm60590371&format=geojson,,,,,reviewed,0,41,nm,60590371,",nm60590371,",",nm,",",origin,phase-data,",15.0,0.03773,0.07,62.0,md,earthquake,"M 1.6 - 2 km SE of Ridgely, Tennessee"
0.49,"33 km NNW of Searles Valley, CA",1724970362920,1724972659102,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40719407,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci40719407&format=geojson,,,,,reviewed,0,4,ci,40719407,",ci40719407,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",9.0,0.1643,0.09,210.0,ml,earthquake,"M 0.5 - 33 km NNW of Searles Valley, CA"
2.84,"5 km E of La Parguera, Puerto Rico",1724970100070,1724970864370,,https://earthquake.usgs.gov/earthquakes/eventpage/pr71458588,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=pr71458588&format=geojson,,,,,reviewed,0,124,pr,71458588,",pr71458588,",",pr,",",origin,phase-data,",9.0,0.04337,0.09,190.0,md,earthquake,"M 2.8 - 5 km E of La Parguera, Puerto Rico"
1.2,"37 km WSW of Anchor Point, Alaska",1724969970268,1724970092590,,https://earthquake.usgs.gov/earthquakes/eventpage/ak024b4l9nr6,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak024b4l9nr6&format=geojson,,,,,automatic,0,22,ak,024b4l9nr6,",ak024b4l9nr6,",",ak,",",origin,phase-data,",,,0.24,,ml,earthquake,"M 1.2 - 37 km WSW of Anchor Point, Alaska"
1.7,"62 km NNW of Petersville, Alaska",1724969356259,1724969530450,,https://earthquake.usgs.gov/earthquakes/eventpage/ak024b4l7hih,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak024b4l7hih&format=geojson,,,,,automatic,0,44,ak,024b4l7hih,",ak024b4l7hih,",",ak,",",origin,phase-data,",,,0.24,,ml,earthquake,"M 1.7 - 62 km NNW of Petersville, Alaska"
-1.08,"63 km ENE of Pedro Bay, Alaska",1724969277890,1724989870650,,https://earthquake.usgs.gov/earthquakes/eventpage/av93243893,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=av93243893&format=geojson,,,,,reviewed,0,0,av,93243893,",av93243893,",",av,",",origin,phase-data,",5.0,0.02414,0.07,105.0,ml,earthquake,"M -1.1 - 63 km ENE of Pedro Bay, Alaska"
3.52,"4 km ESE of La Parguera, Puerto Rico",1724969217720,1725055823664,,https://earthquake.usgs.gov/earthquakes/eventpage/pr2024242000,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=pr2024242000&format=geojson,8.0,4.1,3.175,,reviewed,0,194,pr,2024242000,",us6000nnkb,pr2024242000,pt24242000,",",us,pr,pt,",",dyfi,internal-origin,origin,phase-data,shakemap,",20.0,0.0388,0.18,176.0,md,earthquake,"M 3.5 - 4 km ESE of La Parguera, Puerto Rico"
4.1,"66 km N of Khandūd, Afghanistan",1724969103143,1724991539040,,https://earthquake.usgs.gov/earthquakes/eventpage/us6000nnkc,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us6000nnkc&format=geojson,,,,,reviewed,0,259,us,6000nnkc,",us6000nnkc,",",us,",",origin,phase-data,",29.0,1.97,0.65,81.0,mb,earthquake,"M 4.1 - 66 km N of Khandūd, Afghanistan"
1.7,"7 km ENE of Goldfield, Nevada",1724968780034,1724972257066,,https://earthquake.usgs.gov/earthquakes/eventpage/nn00883426,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nn00883426&format=geojson,,,,,reviewed,0,44,nn,00883426,",nn00883426,",",nn,",",origin,phase-data,",9.0,0.188,0.214,93.5,ml,earthquake,"M 1.7 - 7 km ENE of Goldfield, Nevada"
1.3,"9 km ENE of Goldfield, Nevada",1724968558812,1724971137075,,https://earthquake.usgs.gov/earthquakes/eventpage/nn00883423,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nn00883423&format=geojson,,,,,reviewed,0,26,nn,00883423,",nn00883423,",",nn,",",origin,phase-data,",15.0,0.448,0.1555,114.41000000000003,ml,earthquake,"M 1.3 - 9 km ENE of Goldfield, Nevada"
1.96000004,"13 km NE of Pāhala, Hawaii",1724968163620,1724968267220,,https://earthquake.usgs.gov/earthquakes/eventpage/hv74430642,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv74430642&format=geojson,,,,,automatic,0,59,hv,74430642,",hv74430642,",",hv,",",origin,phase-data,",38.0,0.04613,0.140000001,94.0,md,earthquake,"M 2.0 - 13 km NE of Pāhala, Hawaii"
0.91,"5 km S of Banning, CA",1724968159890,1724972520509,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40719359,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci40719359&format=geojson,,,,,reviewed,0,13,ci,40719359,",ci40719359,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",24.0,0.1603,0.09,93.0,ml,earthquake,"M 0.9 - 5 km S of Banning, CA"
1.62,"24 km NW of Grapevine, CA",1724967602980,1724972114640,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40719343,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci40719343&format=geojson,,,,,reviewed,0,40,ci,40719343,",ci40719343,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",30.0,0.04843,0.22,98.0,ml,earthquake,"M 1.6 - 24 km NW of Grapevine, CA"
0.9,"8 km ENE of Goldfield, Nevada",1724966444618,1724966587258,,https://earthquake.usgs.gov/earthquakes/eventpage/nn00883420,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nn00883420&format=geojson,,,,,automatic,0,12,nn,00883420,",nn00883420,",",nn,",",origin,phase-data,",8.0,0.564,0.0934,175.39000000000004,ml,earthquake,"M 0.9 - 8 km ENE of Goldfield, Nevada"
1.04,"3 km NE of Moreno Valley, CA",1724965586130,1724967945086,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40719271,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci40719271&format=geojson,,,,,reviewed,0,17,ci,40719271,",ci40719271,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",37.0,0.0248,0.18,55.0,ml,earthquake,"M 1.0 - 3 km NE of Moreno Valley, CA"
4.3,south of Panama,1724965541091,1724979892040,,https://earthquake.usgs.gov/earthquakes/eventpage/us6000nnk0,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us6000nnk0&format=geojson,,,,,reviewed,0,284,us,6000nnk0,",us6000nnk0,",",us,",",origin,phase-data,",24.0,4.543,0.98,164.0,mb,earthquake,M 4.3 - south of Panama
1.56,"5 km SE of Bostonia, CA",1724965223040,1724968444279,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40719247,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci40719247&format=geojson,,,,,reviewed,0,37,ci,40719247,",ci40719247,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",24.0,0.05979,0.31,91.0,ml,quarry blast,"M 1.6 Quarry Blast - 5 km SE of Bostonia, CA"
2.08,"10 km N of Alex, Oklahoma",1724965146559,1724968034418,,https://earthquake.usgs.gov/earthquakes/eventpage/ok2024qzxu,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ok2024qzxu&format=geojson,,,,,reviewed,0,67,ok,2024qzxu,",us6000nnjz,ok2024qzxu,",",us,ok,",",origin,phase-data,",89.0,0.1016800469,0.24,34.0,ml,earthquake,"M 2.1 - 10 km N of Alex, Oklahoma"
2.03,"20 km E of Little Lake, CA",1724963782540,1724967977132,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40719215,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci40719215&format=geojson,,,,,reviewed,0,63,ci,40719215,",ci40719215,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",27.0,0.02596,0.13,81.0,ml,earthquake,"M 2.0 - 20 km E of Little Lake, CA"
0.8,"2 km ENE of The Geysers, CA",1724963614280,1724969235223,,https://earthquake.usgs.gov/earthquakes/eventpage/nc75055046,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc75055046&format=geojson,,,,,automatic,0,10,nc,75055046,",nc75055046,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",13.0,0.006207,0.02,89.0,md,earthquake,"M 0.8 - 2 km ENE of The Geysers, CA"
1.65,"16 km NE of Stanley, Idaho",1724963488990,1724972964060,,https://earthquake.usgs.gov/earthquakes/eventpage/mb90060418,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=mb90060418&format=geojson,,,,,reviewed,0,42,mb,90060418,",mb90060418,",",mb,",",origin,phase-data,",10.0,0.2281,0.2,71.0,ml,earthquake,"M 1.7 - 16 km NE of Stanley, Idaho"
0.84,"86 km NNW of Karluk, Alaska",1724963375380,1724989688740,,https://earthquake.usgs.gov/earthquakes/eventpage/av93243868,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=av93243868&format=geojson,,,,,reviewed,0,11,av,93243868,",av93243868,",",av,",",origin,phase-data,",14.0,0.04195,0.14,130.0,ml,earthquake,"M 0.8 - 86 km NNW of Karluk, Alaska"
5.4,Pacific-Antarctic Ridge,1724962765769,1725049383192,,https://earthquake.usgs.gov/earthquakes/eventpage/us6000nnjr,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us6000nnjr&format=geojson,,,0.0,green,reviewed,0,449,us,6000nnjr,",us6000nnjr,",",us,",",losspager,moment-tensor,origin,phase-data,shakemap,",39.0,18.587,0.64,126.0,mww,earthquake,M 5.4 - Pacific-Antarctic Ridge
1.5,"35 km ESE of Skwentna, Alaska",1724962643402,1724962761506,,https://earthquake.usgs.gov/earthquakes/eventpage/ak024b4k2cl0,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak024b4k2cl0&format=geojson,,,,,automatic,0,35,ak,024b4k2cl0,",ak024b4k2cl0,",",ak,",",origin,phase-data,",,,0.55,,ml,earthquake,"M 1.5 - 35 km ESE of Skwentna, Alaska"
2.8,"21 km SSW of Ackerly, Texas",1724962269835,1724994020730,,https://earthquake.usgs.gov/earthquakes/eventpage/tx2024qzwf,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=tx2024qzwf&format=geojson,1.0,2.2,,,reviewed,0,121,tx,2024qzwf,",tx2024qzwf,us6000nnjm,",",tx,us,",",dyfi,origin,phase-data,",38.0,0.0,0.2,41.0,ml,earthquake,"M 2.8 - 21 km SSW of Ackerly, Texas"
4.8,"Bonin Islands, Japan region",1724961822273,1724965152040,,https://earthquake.usgs.gov/earthquakes/eventpage/us6000nnjl,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us6000nnjl&format=geojson,,,,,reviewed,0,354,us,6000nnjl,",us6000nnjl,",",us,",",origin,phase-data,",59.0,1.142,0.61,132.0,mb,earthquake,"M 4.8 - Bonin Islands, Japan region"
-0.4,"47 km ESE of Beatty, Nevada",1724961137437,1725030433583,,https://earthquake.usgs.gov/earthquakes/eventpage/nn00883490,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nn00883490&format=geojson,,,,,reviewed,0,0,nn,00883490,",nn00883490,",",nn,",",origin,phase-data,",15.0,0.052,0.07,73.79,ml,earthquake,"M -0.4 - 47 km ESE of Beatty, Nevada"
1.19,"15 km WNW of Rockaway Beach, Oregon",1724960690710,1725025701294,,https://earthquake.usgs.gov/earthquakes/eventpage/uw62042026,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=uw62042026&format=geojson,2.0,1.0,,,reviewed,0,22,uw,62042026,",uw62042026,",",uw,",",dyfi,origin,phase-data,",9.0,0.1464,0.27,270.0,ml,earthquake,"M 1.2 - 15 km WNW of Rockaway Beach, Oregon"
1.36,"12 km SW of Alder, Washington",1724960519960,1724967109550,,https://earthquake.usgs.gov/earthquakes/eventpage/uw62042021,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=uw62042021&format=geojson,,,,,reviewed,0,28,uw,62042021,",uw62042021,",",uw,",",origin,phase-data,",33.0,0.1249,0.15,63.0,ml,explosion,"M 1.4 Explosion - 12 km SW of Alder, Washington"
0.4,"18 km NNW of Chickaloon, Alaska",1724959423130,1724959539133,,https://earthquake.usgs.gov/earthquakes/eventpage/ak024b4ji8zx,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak024b4ji8zx&format=geojson,,,,,automatic,0,2,ak,024b4ji8zx,",ak024b4ji8zx,",",ak,",",origin,phase-data,",,,1.0,,ml,earthquake,"M 0.4 - 18 km NNW of Chickaloon, Alaska"
-0.8,"14 km W of Akutan, Alaska",1724959218670,1724988969110,,https://earthquake.usgs.gov/earthquakes/eventpage/av93019704,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=av93019704&format=geojson,,,,,reviewed,0,0,av,93019704,",av93019704,",",av,",",origin,phase-data,",4.0,0.02255,0.07,245.0,ml,earthquake,"M -0.8 - 14 km W of Akutan, Alaska"
1.36,"12 km ESE of Enumclaw, Washington",1724959134570,1724973034821,,https://earthquake.usgs.gov/earthquakes/eventpage/uw62042016,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=uw62042016&format=geojson,1.0,1.0,,,reviewed,0,29,uw,62042016,",uw62042016,",",uw,",",dyfi,origin,phase-data,",12.0,0.1091,0.07,231.0,ml,explosion,"M 1.4 Explosion - 12 km ESE of Enumclaw, Washington"
1.6,"58 km WNW of Toyah, Texas",1724958715698,1725027389821,,https://earthquake.usgs.gov/earthquakes/eventpage/tx2024qzuf,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=tx2024qzuf&format=geojson,,,,,reviewed,0,39,tx,2024qzuf,",tx2024qzuf,",",tx,",",origin,phase-data,",19.0,0.1,0.2,74.0,ml,earthquake,"M 1.6 - 58 km WNW of Toyah, Texas"
1.59,"16 km NNE of Apple Valley, CA",1724958425280,1724967910225,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40719127,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci40719127&format=geojson,,,,,reviewed,0,39,ci,40719127,",ci40719127,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",34.0,0.1906,0.17,37.0,ml,quarry blast,"M 1.6 Quarry Blast - 16 km NNE of Apple Valley, CA"
1.64,"5 km E of Butte, Montana",1724958286790,1724968204730,,https://earthquake.usgs.gov/earthquakes/eventpage/mb90060403,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=mb90060403&format=geojson,,,,,reviewed,0,41,mb,90060403,",mb90060403,",",mb,",",origin,phase-data,",7.0,0.06076,0.1,113.0,ml,quarry blast,"M 1.6 Quarry Blast - 5 km E of Butte, Montana"
0.75,"2 km ESE of Home Gardens, CA",1724958078140,1724967475811,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40719119,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci40719119&format=geojson,,,,,reviewed,0,9,ci,40719119,",ci40719119,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",20.0,0.07525,0.23,71.0,ml,quarry blast,"M 0.8 Quarry Blast - 2 km ESE of Home Gardens, CA"
2.12,"6 km S of Volcano, Hawaii",1724957833730,1724968336490,,https://earthquake.usgs.gov/earthquakes/eventpage/hv74430367,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv74430367&format=geojson,,,,,reviewed,0,69,hv,74430367,",hv74430367,",",hv,",",origin,phase-data,",38.0,0.007958,0.11,57.0,ml,earthquake,"M 2.1 - 6 km S of Volcano, Hawaii"
0.75,"7 km WNW of Cobb, CA",1724957518140,1724959466652,,https://earthquake.usgs.gov/earthquakes/eventpage/nc75055021,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc75055021&format=geojson,,,,,automatic,0,9,nc,75055021,",nc75055021,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",12.0,0.01274,0.0,56.0,md,earthquake,"M 0.8 - 7 km WNW of Cobb, CA"
1.9,"68 km N of Arctic Village, Alaska",1724957342303,1724957515986,,https://earthquake.usgs.gov/earthquakes/eventpage/ak024b4j2bgk,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak024b4j2bgk&format=geojson,,,,,automatic,0,56,ak,024b4j2bgk,",ak024b4j2bgk,",",ak,",",origin,phase-data,",,,0.84,,ml,earthquake,"M 1.9 - 68 km N of Arctic Village, Alaska"
1.1,"12 km SSW of Big Spring, Texas",1724956740598,1725028951042,,https://earthquake.usgs.gov/earthquakes/eventpage/tx2024qztf,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=tx2024qztf&format=geojson,,,,,reviewed,0,19,tx,2024qztf,",tx2024qztf,",",tx,",",origin,phase-data,",12.0,0.1,0.2,85.0,ml,earthquake,"M 1.1 - 12 km SSW of Big Spring, Texas"
0.4,"63 km ENE of Beatty, Nevada",1724956458984,1725028961108,,https://earthquake.usgs.gov/earthquakes/eventpage/nn00883413,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nn00883413&format=geojson,,,,,reviewed,0,2,nn,00883413,",nn00883413,",",nn,",",origin,phase-data,",16.0,0.032,0.1872,59.57000000000001,ml,earthquake,"M 0.4 - 63 km ENE of Beatty, Nevada"
0.9,"10 km ENE of Goldfield, Nevada",1724956368730,1724956515345,,https://earthquake.usgs.gov/earthquakes/eventpage/nn00883411,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nn00883411&format=geojson,,,,,automatic,0,12,nn,00883411,",nn00883411,",",nn,",",origin,phase-data,",9.0,0.566,0.2159,177.51,ml,earthquake,"M 0.9 - 10 km ENE of Goldfield, Nevada"
1.46,"10 km E of Chualar, CA",1724956312820,1724964566178,,https://earthquake.usgs.gov/earthquakes/eventpage/nc75055016,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc75055016&format=geojson,,,,,automatic,0,33,nc,75055016,",nc75055016,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",8.0,0.005003,0.06,121.0,md,earthquake,"M 1.5 - 10 km E of Chualar, CA"
2.1,"2 km SW of Caruthersville, Missouri",1724956123910,1725025711830,,https://earthquake.usgs.gov/earthquakes/eventpage/nm60590326,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nm60590326&format=geojson,,,,,reviewed,0,68,nm,60590326,",nm60590326,",",nm,",",origin,phase-data,",36.0,0.05929,0.12,51.0,md,earthquake,"M 2.1 - 2 km SW of Caruthersville, Missouri"
1.5,"6 km NNW of The Geysers, CA",1724955911370,1724962637983,,https://earthquake.usgs.gov/earthquakes/eventpage/nc75055006,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc75055006&format=geojson,,,,,automatic,0,35,nc,75055006,",nc75055006,",",nc,",",focal-mechanism,nearby-cities,origin,phase-data,scitech-link,",32.0,0.004864,0.03,42.0,md,earthquake,"M 1.5 - 6 km NNW of The Geysers, CA"
1.5,"26 km NW of Susitna, Alaska",1724954931495,1724955069068,,https://earthquake.usgs.gov/earthquakes/eventpage/ak024b4itm3h,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak024b4itm3h&format=geojson,,,,,automatic,0,35,ak,024b4itm3h,",ak024b4itm3h,",",ak,",",origin,phase-data,",,,0.49,,ml,earthquake,"M 1.5 - 26 km NW of Susitna, Alaska"
